True_index,Predicted_Sales
7,0.0
19,3794.76
31,5993.44
45,3368.04
56,3459.3
57,5158.74
61,5795.76
63,7377.58
79,5024.04
81,9992.9
84,3326.7
86,6348.14
90,4948.18
96,5492.04
105,0.0
108,5653.06
124,15494.06
126,6048.28
133,6900.52
146,5691.74
151,0.0
160,8069.26
164,7291.66
167,10922.9
190,0.0
194,6804.72
206,11910.24
214,0.0
217,10083.06
220,9190.26
221,6589.44
225,6601.44
226,3879.4
232,8312.92
250,5469.96
264,6060.92
269,7328.86
271,6227.14
280,8373.1
281,0.0
284,3650.94
302,7857.14
323,5817.02
327,0.0
336,5054.28
351,4356.12
377,6101.42
382,4514.36
388,7963.88
392,0.0
402,0.0
408,6601.54
427,6766.04
466,0.0
469,0.0
472,0.0
477,0.0
508,5131.86
513,11447.0
516,7007.76
530,4371.06
558,3311.22
576,13931.48
588,7412.08
595,6316.96
600,5053.96
601,8751.12
609,5083.04
612,5435.12
615,7158.3
625,5422.76
632,0.0
645,5245.82
666,6127.88
668,6547.08
672,9830.62
699,16919.84
717,6006.62
737,4753.06
744,7647.54
747,16025.52
764,7487.68
775,6691.14
788,0.0
795,8290.22
802,9359.24
811,8896.04
840,9504.8
849,11348.32
859,7920.84
871,0.0
872,12588.58
881,4275.92
883,7158.82
890,5015.2
896,6651.44
902,0.0
905,9486.86
921,9136.78
967,9154.98
973,5552.58
1001,3752.62
1016,0.0
1021,10087.06
1026,4823.2
1030,7060.5
1044,5687.1
1063,10165.9
1067,8369.6
1075,8634.34
1086,0.0
1097,4774.1
1117,13093.36
1122,4678.98
1125,8168.38
1129,5015.32
1141,5518.34
1149,0.0
1151,4514.48
1159,6405.82
1173,6669.86
1184,0.0
1193,5552.44
1241,5260.02
1249,0.0
1250,7256.52
1261,0.0
1273,6924.38
1282,0.0
1296,7889.38
1309,2130.72
1332,5153.3
1336,6927.38
1357,5309.74
1372,6796.38
1374,6124.32
1378,9715.02
1379,4098.82
1384,9075.24
1394,5789.56
1398,2879.22
1399,4548.04
1403,7161.52
1409,10284.52
1424,4298.76
1430,6304.54
1432,4940.54
1448,5567.52
1451,10419.52
1452,7441.98
1467,0.0
1470,5165.1
1481,10059.02
1523,2878.38
1527,5023.56
1546,4984.62
1547,11820.96
1567,3702.14
1592,8873.82
1597,11791.76
1601,0.0
1603,9917.06
1640,5881.36
1646,0.0
1651,0.0
1652,9979.16
1670,0.0
1677,0.0
1691,5711.34
1704,1629.8
1707,11159.2
1718,5393.66
1721,5994.98
1733,0.0
1737,8444.42
1748,4509.96
1776,5366.3
1804,6735.18
1821,10018.08
1839,4654.82
1845,7303.18
1853,5808.22
1888,4080.92
1895,5783.78
1899,6948.6
1923,3590.44
1934,9698.94
1937,10011.54
1940,5470.88
1953,0.0
1968,3777.74
1975,0.0
1981,6664.64
1984,5571.2
1997,11634.0
2024,9729.84
2032,8968.96
2036,13817.2
2051,3794.84
2061,0.0
2082,5485.08
2093,0.0
2096,6657.64
2107,5447.7
2115,5795.12
2117,3812.02
2137,2726.4
2156,7636.18
2160,0.0
2186,8604.44
2188,7892.54
2204,8163.02
2217,5704.56
2224,5002.52
2228,11811.58
2233,12045.18
2246,3525.98
2254,12023.42
2275,8005.56
2281,6248.92
2287,10429.36
2300,8360.24
2305,9687.58
2306,5328.96
2313,3855.12
2315,5872.66
2320,4000.82
2322,5289.82
2324,4590.94
2328,9331.94
2335,6214.4
2340,3180.92
2352,0.0
2381,6497.98
2383,5517.48
2408,3926.88
2422,6008.14
2424,3916.44
2425,0.0
2428,4080.46
2435,5352.96
2456,7305.12
2471,0.0
2474,5041.44
2493,4825.62
2495,7330.44
2501,0.0
2511,2657.32
2519,3440.84
2522,8052.12
2526,5922.72
2527,12214.14
2539,7288.94
2550,7298.46
2562,0.0
2572,7903.6
2573,6370.98
2576,8692.66
2579,4842.7
2580,5546.08
2594,5108.28
2600,8551.46
2602,10369.64
2621,0.0
2641,0.0
2651,6883.36
2669,7155.94
2686,9596.6
2694,6161.76
2699,5547.88
2700,5066.16
2747,7419.98
2759,7583.18
2763,6708.84
2794,0.0
2797,0.0
2812,12373.86
2815,6161.34
2824,0.0
2829,6808.34
2830,8917.96
2852,5876.78
2855,8385.28
2858,0.0
2870,8729.52
2881,6009.22
2884,3864.46
2887,7040.16
2890,9425.66
2897,14861.34
2909,4100.66
2917,9816.98
2929,3722.22
2937,6091.36
2962,7091.06
2985,7330.16
2997,8236.58
3007,4216.8
3015,6405.76
3020,3668.9
3030,6650.38
3035,6083.84
3048,7081.32
3075,7170.9
3079,7034.74
3087,4914.92
3091,9322.08
3103,7591.36
3107,6366.94
3120,0.0
3126,8975.6
3127,14209.86
3131,6496.02
3142,7827.74
3143,0.0
3146,6306.1
3157,7069.7
3162,6655.18
3165,7697.4
3168,0.0
3170,0.0
3172,7130.92
3175,4867.14
3179,5224.36
3188,8293.38
3194,0.0
3200,5796.72
3209,4480.1
3231,11816.72
3235,3938.8
3238,6904.48
3276,9168.94
3283,0.0
3286,5020.02
3306,0.0
3328,10881.64
3340,7257.66
3347,0.0
3351,5718.52
3357,7667.64
3364,4669.72
3374,6733.38
3402,8434.36
3407,0.0
3420,7629.98
3434,6110.82
3436,4855.94
3442,8130.68
3448,5933.02
3456,4575.2
3467,5096.34
3473,4792.16
3486,6854.84
3496,4128.32
3509,6180.18
3517,6496.88
3519,7687.5
3521,5063.76
3534,1643.32
3539,3353.52
3551,11238.56
3556,3767.92
3559,10358.14
3573,6935.94
3600,8144.02
3602,2284.16
3617,4581.66
3635,7835.5
3641,8077.12
3648,7861.1
3676,0.0
3694,0.0
3707,6734.54
3708,4219.06
3716,7304.86
3734,0.0
3738,8448.7
3744,7405.8
3746,7932.5
3749,10890.52
3777,4447.94
3794,10925.2
3804,4262.26
3813,22022.88
3828,5523.48
3840,8900.5
3843,5945.82
3844,0.0
3856,8623.12
3864,5667.86
3865,4237.44
3891,5580.52
3893,5168.82
3896,4829.32
3910,6477.54
3920,6338.26
3922,6120.3
3929,0.0
3931,0.0
3932,3419.98
3941,4368.0
3946,4168.88
3966,4756.72
3975,7934.56
3977,0.0
3986,4342.24
3989,22731.4
3993,6038.98
3996,4162.2
4016,28600.74
4020,6887.24
4023,0.0
4031,7878.84
4040,7967.52
4041,0.0
4042,0.0
4052,4810.16
4067,0.0
4071,9352.44
4104,6283.0
4110,2980.16
4122,9173.76
4127,8727.6
4129,6984.72
4130,0.0
4162,3623.64
4180,4147.92
4181,7310.58
4190,4269.22
4195,0.0
4196,3801.0
4215,4173.3
4233,0.0
4236,0.0
4240,4172.16
4258,4944.0
4264,4977.12
4268,9050.72
4269,7493.2
4286,7347.74
4300,8814.2
4303,0.0
4320,11928.36
4323,6755.32
4327,12667.38
4339,4928.82
4354,5539.88
4366,3954.0
4371,5934.32
4388,7292.0
4422,6703.68
4433,0.0
4434,6840.16
4436,9314.22
4452,10743.22
4474,5384.86
4482,3920.56
4495,0.0
4521,9211.06
4552,3463.66
4555,8067.46
4556,5768.66
4560,7273.94
4577,7403.56
4586,3723.72
4589,5334.6
4618,0.0
4620,6972.98
4642,5792.44
4654,5918.38
4674,9867.72
